Letterboxd URI,Title,Year,imdb,tmdb
/film/parasite-2019/,Parasite,2019,tt6751668,496243
/film/joker-2019/,Joker,2019,tt7286456,475557
/film/knives-out-2019/,Knives Out,2019,tt8946378,546554
/film/pulp-fiction/,Pulp Fiction,1994,tt0110912,680
/film/inception/,Inception,2010,tt1375666,27205
/film/get-out-2017/,Get Out,2017,tt5052448,419430
/film/midsommar/,Midsommar,2019,tt8772262,530385
/film/fight-club/,Fight Club,1999,tt0137523,550
/film/once-upon-a-time-in-hollywood/,Once Upon a Time… in Hollywood,2019,tt7131622,466272
/film/the-dark-knight/,The Dark Knight,2008,tt0468569,155
/film/lady-bird/,Lady Bird,2017,tt4925292,391713
/film/la-la-land/,La La Land,2016,tt3783958,313369
/film/the-grand-budapest-hotel/,The Grand Budapest Hotel,2014,tt2278388,120467
/film/interstellar/,Interstellar,2014,tt0816692,157336
/film/baby-driver/,Baby Driver,2017,tt3890160,339403
/film/the-shining/,The Shining,1980,tt0081505,694
/film/inglourious-basterds/,Inglourious Basterds,2009,tt0361748,16869
/film/avengers-infinity-war/,Avengers: Infinity War,2018,tt4154756,299536
/film/the-wolf-of-wall-street/,The Wolf of Wall Street,2013,tt0993846,106646
/film/black-panther/,Black Panther,2018,tt1825683,284054
/film/jojo-rabbit/,Jojo Rabbit,2019,tt2584384,515001
/film/whiplash-2014/,Whiplash,2014,tt2582802,244786
/film/gone-girl/,Gone Girl,2014,tt2267998,210577
/film/her/,Her,2013,tt1798709,152601
/film/spirited-away/,Spirited Away,2001,tt0245429,129
/film/arrival-2016/,Arrival,2016,tt2543164,329865
/film/eternal-sunshine-of-the-spotless-mind/,Eternal Sunshine of the Spotless Mind,2004,tt0338013,38
/film/mad-max-fury-road/,Mad Max: Fury Road,2015,tt1392190,76341
/film/guardians-of-the-galaxy/,Guardians of the Galaxy,2014,tt2015381,118340
/film/django-unchained/,Django Unchained,2012,tt1853728,68718
/film/the-social-network/,The Social Network,2010,tt1285016,37799
/film/the-silence-of-the-lambs/,The Silence of the Lambs,1991,tt0102926,274
/film/uncut-gems/,Uncut Gems,2019,tt5727208,473033
/film/call-me-by-your-name/,Call Me by Your Name,2017,tt5726616,398818
/film/kill-bill-vol-1/,Kill Bill: Vol. 1,2003,tt0266697,24
/film/the-lighthouse-2019/,The Lighthouse,2019,tt7984734,503919
/film/scott-pilgrim-vs-the-world/,Scott Pilgrim vs. the World,2010,tt0446029,22538
/film/the-truman-show/,The Truman Show,1998,tt0120382,37165
/film/hereditary/,Hereditary,2018,tt7784604,493922
/film/1917/,1917,2019,tt8579674,530915
/film/moonlight-2016/,Moonlight,2016,tt4975722,376867
/film/the-godfather/,The Godfather,1972,tt0068646,238
/film/forrest-gump/,Forrest Gump,1994,tt0109830,13
/film/the-matrix/,The Matrix,1999,tt0133093,603
/film/se7en/,Se7en,1995,tt0114369,807
/film/marriage-story-2019/,Marriage Story,2019,tt7653254,492188
/film/dunkirk-2017/,Dunkirk,2017,tt5013056,374720
/film/us-2019/,Us,2019,tt6857112,458723
/film/a-quiet-place-2018/,A Quiet Place,2018,tt6644200,447332
/film/coco-2017/,Coco,2017,tt2380307,354912
/film/star-wars/,Star Wars,1977,tt0076759,11
/film/deadpool/,Deadpool,2016,tt1431045,293660
/film/taxi-driver/,Taxi Driver,1976,tt0075314,103
/film/black-swan/,Black Swan,2010,tt0947798,44214
/film/spider-man-homecoming/,Spider-Man: Homecoming,2017,tt2250912,315635
/film/inside-out-2015/,Inside Out,2015,tt2096673,150540
/film/the-avengers-2012/,The Avengers,2012,tt0848228,24428
/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,The Lord of the Rings: The Fellowship of the Ring,2001,tt0120737,120
/film/tenet/,Tenet,2020,tt6723592,577922
/film/drive-2011/,Drive,2011,tt0780504,64690
/film/the-shawshank-redemption/,The Shawshank Redemption,1994,tt0111161,278
/film/american-psycho/,American Psycho,2000,tt0144084,1359
/film/portrait-of-a-lady-on-fire/,Portrait of a Lady on Fire,2019,tt8613070,531428
/film/the-empire-strikes-back/,The Empire Strikes Back,1980,tt0080684,1891
/film/it-2017/,It,2017,tt1396484,346364
/film/ratatouille/,Ratatouille,2007,tt0382932,2062
/film/2001-a-space-odyssey/,2001: A Space Odyssey,1968,tt0062622,62
/film/guardians-of-the-galaxy-vol-2/,Guardians of the Galaxy Vol. 2,2017,tt3896198,283995
/film/the-shape-of-water/,The Shape of Water,2017,tt5580390,399055
/film/captain-america-civil-war/,Captain America: Civil War,2016,tt3498820,271110
/film/nightcrawler/,Nightcrawler,2014,tt2872718,242582
/film/goodfellas/,GoodFellas,1990,tt0099685,769
/film/no-country-for-old-men/,No Country for Old Men,2007,tt0477348,6977
/film/birdman-or-the-unexpected-virtue-of-ignorance/,Birdman or (The Unexpected Virtue of Ignorance),2014,tt2562232,194662
/film/up/,Up,2009,tt1049413,14160
/film/blackkklansman/,BlacKkKlansman,2018,tt7349662,487558
/film/ex-machina-2014/,Ex Machina,2014,tt0470752,264660
/film/blade-runner/,Blade Runner,1982,tt0083658,78
/film/walle/,WALL·E,2008,tt0910970,10681
/film/doctor-strange-2016/,Doctor Strange,2016,tt1211837,284052
/film/reservoir-dogs/,Reservoir Dogs,1992,tt0105236,500
/film/jurassic-park/,Jurassic Park,1993,tt0107290,329
/film/donnie-darko/,Donnie Darko,2001,tt0246578,141
/film/alien/,Alien,1979,tt0078748,348
/film/zodiac/,Zodiac,2007,tt0443706,1949
/film/toy-story/,Toy Story,1995,tt0114709,862
/film/a-clockwork-orange/,A Clockwork Orange,1971,tt0066921,185
/film/logan-2017/,Logan,2017,tt3315342,263115
/film/memento/,Memento,2000,tt0209144,77
/film/the-martian/,The Martian,2015,tt3659388,286217
/film/the-incredibles/,The Incredibles,2004,tt0317705,9806
/film/the-perks-of-being-a-wallflower/,The Perks of Being a Wallflower,2012,tt1659337,84892
/film/the-breakfast-club/,The Breakfast Club,1985,tt0088847,2108
/film/the-dark-knight-rises/,The Dark Knight Rises,2012,tt1345836,49026
/film/rogue-one-a-star-wars-story/,Rogue One: A Star Wars Story,2016,tt3748528,330459
/film/titanic-1997/,Titanic,1997,tt0120338,597
/film/harry-potter-and-the-prisoner-of-azkaban/,Harry Potter and the Prisoner of Azkaban,2004,tt0304141,673
/film/the-revenant-2015/,The Revenant,2015,tt1663202,281957
/film/avengers-age-of-ultron/,Avengers: Age of Ultron,2015,tt2395427,99861
/film/the-favourite/,The Favourite,2018,tt5083738,375262
/film/star-wars-the-rise-of-skywalker/,Star Wars: The Rise of Skywalker,2019,tt2527338,181812
/film/lost-in-translation/,Lost in Translation,2003,tt0335266,153
/film/the-big-lebowski/,The Big Lebowski,1998,tt0118715,115
/film/the-irishman-2019/,The Irishman,2019,tt1302006,398978
/film/psycho/,Psycho,1960,tt0054215,539
/film/the-witch-2015/,The Witch,2015,tt4263482,310131
/film/harry-potter-and-the-philosophers-stone/,Harry Potter and the Philosopher's Stone,2001,tt0241527,671
/film/wonder-woman-2017/,Wonder Woman,2017,tt0451279,297762
/film/fantastic-mr-fox/,Fantastic Mr. Fox,2009,tt0432283,10315
/film/finding-nemo/,Finding Nemo,2003,tt0266543,12
/film/fargo/,Fargo,1996,tt0116282,275
/film/good-will-hunting/,Good Will Hunting,1997,tt0119217,489
/film/moonrise-kingdom/,Moonrise Kingdom,2012,tt1748122,83666
/film/the-hateful-eight/,The Hateful Eight,2015,tt3460252,273248
